Time[s], CS, SO_SIO1, WP_SIO2, SO_SO00, SCLK, RESET_SI03
0.007162618, 0, 0, 1, 0, 0, 0
0.007162704, 0, 0, 1, 0, 1, 0
0.007162796, 0, 0, 1, 0, 0, 0
0.007162882, 0, 0, 1, 0, 1, 0
0.007162972, 0, 0, 1, 0, 0, 0
0.007163926, 0, 0, 1, 0, 1, 0
0.007164018, 0, 0, 1, 0, 0, 0
0.007164104, 0, 0, 1, 0, 1, 0
0.007164196, 0, 0, 1, 0, 0, 0
0.007164284, 0, 0, 1, 0, 1, 0
0.007164374, 0, 0, 1, 0, 0, 0
0.007164462, 0, 0, 1, 0, 1, 0
0.007164552, 0, 0, 1, 0, 0, 0
0.007164640, 0, 0, 1, 0, 1, 0
0.007164730, 0, 0, 1, 0, 0, 0
0.007164818, 0, 0, 1, 0, 1, 0
0.007164908, 0, 0, 1, 0, 0, 0
0.007164996, 0, 0, 1, 0, 1, 0
0.007165086, 0, 0, 1, 0, 0, 0
0.007165174, 0, 0, 1, 0, 1, 0
0.007165264, 0, 0, 1, 0, 0, 0
0.007166218, 0, 0, 1, 0, 1, 0
0.007166308, 0, 0, 1, 0, 0, 0
0.007166394, 0, 0, 1, 0, 1, 0
0.007166486, 0, 0, 1, 0, 0, 0
0.007166572, 0, 0, 1, 0, 1, 0
0.007166664, 0, 0, 1, 0, 0, 0
0.007166750, 0, 0, 1, 0, 1, 0
0.007166840, 0, 0, 1, 0, 0, 0
0.007166928, 0, 0, 1, 0, 1, 0
0.007167018, 0, 0, 1, 0, 0, 0
0.007167106, 0, 0, 1, 0, 1, 0
0.007167196, 0, 0, 1, 0, 0, 0
0.007167282, 0, 0, 1, 0, 1, 0
0.007167374, 0, 0, 1, 0, 0, 0
0.007167460, 0, 0, 1, 0, 1, 0
0.007167552, 0, 0, 1, 0, 0, 0
0.007169062, 0, 0, 1, 0, 1, 0
0.007169152, 0, 1, 1, 0, 0, 0
0.007169240, 0, 1, 1, 0, 1, 0
0.007169330, 0, 1, 1, 0, 0, 0
0.007169332, 0, 0, 1, 0, 0, 0
0.007169418, 0, 0, 1, 0, 1, 0
0.007169508, 0, 0, 1, 0, 0, 0
0.007169596, 0, 0, 1, 0, 1, 0
0.007169684, 0, 1, 1, 0, 1, 0
0.007169686, 0, 1, 1, 0, 0, 0
0.007169772, 0, 1, 1, 0, 1, 0
0.007169864, 0, 1, 1, 0, 0, 0
0.007169950, 0, 1, 1, 0, 1, 0
0.007170042, 0, 1, 1, 0, 0, 0
0.007170128, 0, 1, 1, 0, 1, 0
0.007170218, 0, 1, 1, 0, 0, 0
0.007170220, 0, 0, 1, 0, 0, 0
0.007170306, 0, 0, 1, 0, 1, 0
0.007170396, 0, 0, 1, 0, 0, 0
0.007171482, 0, 0, 1, 0, 1, 0
0.007171572, 0, 1, 1, 0, 1, 0
0.007171574, 0, 1, 1, 0, 0, 0
0.007171660, 0, 1, 1, 0, 1, 0
0.007171752, 0, 0, 1, 0, 0, 0
0.007171838, 0, 0, 1, 0, 1, 0
0.007171928, 0, 0, 1, 0, 0, 0
0.007172016, 0, 0, 1, 0, 1, 0
0.007172106, 0, 0, 1, 0, 0, 0
0.007172194, 0, 0, 1, 0, 1, 0
0.007172284, 0, 0, 1, 0, 0, 0
0.007172372, 0, 0, 1, 0, 1, 0
0.007172462, 0, 0, 1, 0, 0, 0
0.007172550, 0, 0, 1, 0, 1, 0
0.007172640, 0, 1, 1, 0, 0, 0
0.007172728, 0, 1, 1, 0, 1, 0
0.007172818, 0, 1, 1, 0, 0, 0
0.007172820, 0, 0, 1, 0, 0, 0
0.007174240, 0, 0, 1, 0, 1, 0
0.007174330, 0, 1, 1, 0, 0, 0
0.007174418, 0, 1, 1, 0, 1, 0
0.007174508, 0, 1, 1, 0, 0, 0
0.007174510, 0, 0, 1, 0, 0, 0
0.007174596, 0, 0, 1, 0, 1, 0
0.007174686, 0, 0, 1, 0, 0, 0
0.007174772, 0, 0, 1, 0, 1, 0
0.007174862, 0, 1, 1, 0, 1, 0
0.007174864, 0, 1, 1, 0, 0, 0
0.007174950, 0, 1, 1, 0, 1, 0
0.007175042, 0, 1, 1, 0, 0, 0
0.007175128, 0, 1, 1, 0, 1, 0
0.007175218, 0, 1, 1, 0, 0, 0
0.007175306, 0, 1, 1, 0, 1, 0
0.007175396, 0, 1, 1, 0, 0, 0
0.007175398, 0, 0, 1, 0, 0, 0
0.007175484, 0, 0, 1, 0, 1, 0
0.007175574, 0, 0, 1, 0, 0, 0
0.007176906, 0, 0, 1, 0, 1, 0
0.007176994, 0, 1, 1, 0, 1, 0
0.007176996, 0, 1, 1, 0, 0, 0
0.007177084, 0, 1, 1, 0, 1, 0
0.007177174, 0, 1, 1, 0, 0, 0
0.007177176, 0, 0, 1, 0, 0, 0
0.007177262, 0, 0, 1, 0, 1, 0
0.007177352, 0, 0, 1, 0, 0, 0
0.007177440, 0, 0, 1, 0, 1, 0
0.007177530, 0, 0, 1, 0, 0, 0
0.007177618, 0, 0, 1, 0, 1, 0
0.007177708, 0, 1, 1, 0, 0, 0
0.007177796, 0, 1, 1, 0, 1, 0
0.007177886, 0, 1, 1, 0, 0, 0
0.007177888, 0, 0, 1, 0, 0, 0
0.007177974, 0, 0, 1, 0, 1, 0
0.007178064, 0, 0, 1, 0, 0, 0
0.007178152, 0, 0, 1, 0, 1, 0
0.007178242, 0, 0, 1, 0, 0, 0
0.007179328, 0, 0, 1, 0, 1, 0
0.007179418, 0, 0, 1, 0, 0, 0
0.007179506, 0, 0, 1, 0, 1, 0
0.007179596, 0, 1, 1, 0, 0, 0
0.007179684, 0, 1, 1, 0, 1, 0
0.007179774, 0, 1, 1, 0, 0, 0
0.007179776, 0, 0, 1, 0, 0, 0
0.007179862, 0, 0, 1, 0, 1, 0
0.007179952, 0, 0, 1, 0, 0, 0
0.007180040, 0, 0, 1, 0, 1, 0
0.007180130, 0, 0, 1, 0, 0, 0
0.007180216, 0, 0, 1, 0, 1, 0
0.007180308, 0, 0, 1, 0, 0, 0
0.007180394, 0, 0, 1, 0, 1, 0
0.007180486, 0, 0, 1, 0, 0, 0
0.007180572, 0, 0, 1, 0, 1, 0
0.007180664, 0, 0, 1, 0, 0, 0
0.007182040, 0, 0, 1, 0, 1, 0
0.007182130, 0, 1, 1, 0, 1, 0
0.007182132, 0, 1, 1, 0, 0, 0
0.007182218, 0, 1, 1, 0, 1, 0
0.007182310, 0, 0, 1, 0, 0, 0
0.007182396, 0, 0, 1, 0, 1, 0
0.007182486, 0, 1, 1, 0, 0, 0
0.007182574, 0, 1, 1, 0, 1, 0
0.007182664, 0, 1, 1, 0, 0, 0
0.007182666, 0, 0, 1, 0, 0, 0
0.007182752, 0, 0, 1, 0, 1, 0
0.007182842, 0, 0, 1, 0, 0, 0
0.007182930, 0, 0, 1, 0, 1, 0
0.007183018, 0, 1, 1, 0, 1, 0
0.007183020, 0, 1, 1, 0, 0, 0
0.007183106, 0, 1, 1, 0, 1, 0
0.007183198, 0, 0, 1, 0, 0, 0
0.007183284, 0, 0, 1, 0, 1, 0
0.007183374, 0, 0, 1, 0, 0, 0
0.007184462, 0, 0, 1, 0, 1, 0
0.007184550, 0, 1, 1, 0, 1, 0
0.007184552, 0, 1, 1, 0, 0, 0
0.007184640, 0, 1, 1, 0, 1, 0
0.007184730, 0, 1, 1, 0, 0, 0
0.007184732, 0, 0, 1, 0, 0, 0
0.007184816, 0, 0, 1, 0, 1, 0
0.007184906, 0, 1, 1, 0, 1, 0
0.007184908, 0, 1, 1, 0, 0, 0
0.007184994, 0, 1, 1, 0, 1, 0
0.007185086, 0, 1, 1, 0, 0, 0
0.007185088, 0, 0, 1, 0, 0, 0
0.007185172, 0, 0, 1, 0, 1, 0
0.007185264, 0, 0, 1, 0, 0, 0
0.007185350, 0, 0, 1, 0, 1, 0
0.007185440, 0, 1, 1, 0, 1, 0
0.007185442, 0, 1, 1, 0, 0, 0
0.007185528, 0, 1, 1, 0, 1, 0
0.007185620, 0, 1, 1, 0, 0, 0
0.007185706, 0, 1, 1, 0, 1, 0
0.007185798, 0, 1, 1, 0, 0, 0
0.007185800, 0, 0, 1, 0, 0, 0
0.007187130, 0, 0, 1, 0, 1, 0
0.007187218, 0, 1, 1, 0, 1, 0
0.007187220, 0, 1, 1, 0, 0, 0
