F:FUN_80003b30: at 0x80003b30: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 172 : CLOC : 26: complexity: 6
F:FUN_80003bdc: at 0x80003bdc: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 32 : CLOC : 15: complexity: 1
F:debug_printf: at 0x80003bfc: refcount: 1459: lib : wrapper/os_wrap_hibernate_cb.c: size : 160 : CLOC : 28: complexity: 5
F:tty_printf: at 0x80003c9c: refcount: 3113: lib : wrapper/os_wrap_hibernate_cb.c: size : 56 : CLOC : 15: complexity: 1
F:FUN_80003cd4: at 0x80003cd4: refcount: 5: lib : wrapper/os_wrap_hibernate_cb.c: size : 20 : CLOC : 8: complexity: 1
F:FUN_80003ce8: at 0x80003ce8: refcount: 253: lib : wrapper/os_wrap_hibernate_cb.c: size : 28 : CLOC : 14: complexity: 2
F:FUN_80003d10: at 0x80003d10: refcount: 48: lib : wrapper/os_wrap_hibernate_cb.c: size : 32 : CLOC : 9: complexity: 1
F:cmd_cdspreg_proxy: at 0x80003d3c: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 608 : CLOC : 77: complexity: 10
F:FUN_80003f9c: at 0x80003f9c: refcount: 26: lib : wrapper/os_wrap_hibernate_cb.c: size : 8 : CLOC : 75: complexity: 0
F:memory_dump: at 0x80003fa4: refcount: 89: lib : wrapper/os_wrap_hibernate_cb.c: size : 8 : CLOC : 76: complexity: 0
F:checkForViolations: at 0x80003fb8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 256 : CLOC : 50: complexity: 10
F:FUN_800040b8: at 0x800040b8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 96 : CLOC : 24: complexity: 4
F:unknownDevInit: at 0x80004118: refcount: 5: lib : wrapper/os_wrap_hibernate_cb.c: size : 312 : CLOC : 54: complexity: 8
F:FUN_80004250: at 0x80004250: refcount: 0: lib : wrapper/os_wrap_hibernate_cb.c: size : 148 : CLOC : 26: complexity: 3
F:common_log_print: at 0x800042e4: refcount: 110: lib : wrapper/os_wrap_hibernate_cb.c: size : 532 : CLOC : 83: complexity: 15
F:FUN_800044f8: at 0x800044f8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 220 : CLOC : 34: complexity: 5
F:FUN_800045d4: at 0x800045d4: refcount: 3: lib : wrapper/os_wrap_hibernate_cb.c: size : 912 : CLOC : 133: complexity: 24
F:cmd_os_all_profile_proxy: at 0x80004964: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 64 : CLOC : 16: complexity: 2
F:FUN_800049a4: at 0x800049a4: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 172 : CLOC : 31: complexity: 4
F:function_w_strlen: at 0x80004a50: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 408 : CLOC : 61: complexity: 13
F:FUN_80004be8: at 0x80004be8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 36 : CLOC : 13: complexity: 1
F:ProgramDead: at 0x80004c0c: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 968 : CLOC : 86: complexity: 5
F:CodeSentryCheck: at 0x80004fd4: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 532 : CLOC : 73: complexity: 9
F:PC_hit_error: at 0x800051e8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 120 : CLOC : 26: complexity: 2
F:PC_violation_error: at 0x80005260: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 184 : CLOC : 25: complexity: 3
F:FUN_80005330: at 0x80005330: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 32 : CLOC : 13: complexity: 2
F:FUN_80005350: at 0x80005350: refcount: 0: lib : wrapper/os_wrap_hibernate_cb.c: size : 68 : CLOC : 14: complexity: 2
F:FUN_80005394: at 0x80005394: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 132 : CLOC : 29: complexity: 8
F:FUN_80005418: at 0x80005418: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 516 : CLOC : 60: complexity: 15
F:FUN_8000561c: at 0x8000561c: refcount: 8: lib : wrapper/os_wrap_hibernate_cb.c: size : 60 : CLOC : 11: complexity: 1
F:FUN_80005658: at 0x80005658: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 604 : CLOC : 81: complexity: 18
F:FUN_800058b4: at 0x800058b4: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 184 : CLOC : 24: complexity: 4
F:FUN_8000596c: at 0x8000596c: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 376 : CLOC : 49: complexity: 13
F:FUN_80005ae4: at 0x80005ae4: refcount: 7: lib : wrapper/os_wrap_hibernate_cb.c: size : 964 : CLOC : 137: complexity: 33
F:FUN_80005ea8: at 0x80005ea8: refcount: 5: lib : wrapper/os_wrap_hibernate_cb.c: size : 724 : CLOC : 105: complexity: 27
F:FUN_8000617c: at 0x8000617c: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 420 : CLOC : 53: complexity: 13
F:FUN_80006320: at 0x80006320: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 384 : CLOC : 52: complexity: 13
F:FUN_800064a0: at 0x800064a0: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 408 : CLOC : 53: complexity: 13
F:cmd_task_proxy: at 0x80006638: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 232 : CLOC : 35: complexity: 8
F:FUN_80006720: at 0x80006720: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 252 : CLOC : 39: complexity: 9
F:FUN_8000681c: at 0x8000681c: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 252 : CLOC : 39: complexity: 9
F:FUN_80006918: at 0x80006918: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 252 : CLOC : 39: complexity: 9
F:FUN_80006a14: at 0x80006a14: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 252 : CLOC : 39: complexity: 9
F:FUN_80006b10: at 0x80006b10: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 252 : CLOC : 39: complexity: 9
F:FUN_80006c0c: at 0x80006c0c: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 452 : CLOC : 59: complexity: 14
F:FUN_80006dd0: at 0x80006dd0: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 448 : CLOC : 59: complexity: 14
F:cmd_os_mem_proxy2: at 0x80006f90: refcount: 6: lib : wrapper/os_wrap_hibernate_cb.c: size : 60 : CLOC : 12: complexity: 1
F:FUN_80006fcc: at 0x80006fcc: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 432 : CLOC : 56: complexity: 14
F:cmd_os_all_primary_proxy: at 0x8000717c: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 136 : CLOC : 24: complexity: 1
F:FUN_80007204: at 0x80007204: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 8 : CLOC : 7: complexity: 1
F:FUN_80007264: at 0x80007264: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 124 : CLOC : 13: complexity: 3
F:FUN_800073a0: at 0x800073a0: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 192 : CLOC : 35: complexity: 7
F:FUN_80007460: at 0x80007460: refcount: 0: lib : wrapper/os_wrap_hibernate_cb.c: size : 332 : CLOC : 40: complexity: 8
F:FUN_800075ac: at 0x800075ac: refcount: 6: lib : wrapper/os_wrap_hibernate_cb.c: size : 356 : CLOC : 55: complexity: 6
F:FUN_80007710: at 0x80007710: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 260 : CLOC : 38: complexity: 4
F:FUN_80007814: at 0x80007814: refcount: 5: lib : wrapper/os_wrap_hibernate_cb.c: size : 124 : CLOC : 18: complexity: 4
F:FUN_80007890: at 0x80007890: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 120 : CLOC : 13: complexity: 1
F:FUN_80007960: at 0x80007960: refcount: 3: lib : wrapper/os_wrap_hibernate_cb.c: size : 84 : CLOC : 17: complexity: 1
F:FUN_800079b4: at 0x800079b4: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 80 : CLOC : 21: complexity: 2
F:FUN_80007aa8: at 0x80007aa8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 468 : CLOC : 56: complexity: 9
F:FUN_80007cb0: at 0x80007cb0: refcount: 0: lib : wrapper/os_wrap_hibernate_cb.c: size : 276 : CLOC : 32: complexity: 5
F:FUN_80007dc4: at 0x80007dc4: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 132 : CLOC : 22: complexity: 4
F:FUN_80007e48: at 0x80007e48: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 60 : CLOC : 19: complexity: 1
F:FUN_80007e84: at 0x80007e84: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 52 : CLOC : 12: complexity: 1
F:FUN_80007eb8: at 0x80007eb8: refcount: 1: lib : wrapper/os_wrap_hibernate_cb.c: size : 12 : CLOC : 11: complexity: 1
F:FUN_80007ed0: at 0x80007ed0: refcount: 2: lib : wrapper/os_wrap_hibernate_cb.c: size : 12 : CLOC : 11: complexity: 1
F:function_with_syscall_zero: at 0x80007f40: refcount: 2006: lib : wrapper/os_wrap_hibernate_cb.c: size : 148 : CLOC : 24: complexity: 4
F:tryDMA??: at 0x80007fd4: refcount: 4: lib : wrapper/os_wrap_hibernate_cb.c: size : 136 : CLOC : 11: complexity: 3
F:FUN_8000805c: at 0x8000805c: refcount: 2: lib : hal_cpu/hal_dma.c: size : 80 : CLOC : 11: complexity: 3
F:FUN_800080ac: at 0x800080ac: refcount: 2: lib : hal_cpu/hal_dma.c: size : 256 : CLOC : 41: complexity: 9
F:FUN_800081ac: at 0x800081ac: refcount: 3: lib : hal_cpu/hal_dma.c: size : 152 : CLOC : 23: complexity: 4
F:FUN_80008244: at 0x80008244: refcount: 2: lib : hal_cpu/hal_dma.c: size : 160 : CLOC : 23: complexity: 5
F:FUN_800082e4: at 0x800082e4: refcount: 3: lib : hal_cpu/hal_dma.c: size : 124 : CLOC : 17: complexity: 4
F:FUN_80008360: at 0x80008360: refcount: 3: lib : hal_cpu/hal_dma.c: size : 124 : CLOC : 17: complexity: 4
F:FUN_800083dc: at 0x800083dc: refcount: 2: lib : hal_cpu/hal_dma.c: size : 136 : CLOC : 17: complexity: 4
F:FUN_80008464: at 0x80008464: refcount: 1: lib : hal_cpu/hal_dma.c: size : 608 : CLOC : 69: complexity: 19
F:FUN_800086c4: at 0x800086c4: refcount: 2: lib : hal_cpu/hal_dma.c: size : 808 : CLOC : 110: complexity: 26
F:FUN_800089ec: at 0x800089ec: refcount: 3: lib : hal_cpu/hal_dma.c: size : 344 : CLOC : 39: complexity: 11
F:FUN_80008b44: at 0x80008b44: refcount: 3: lib : hal_cpu/hal_dma.c: size : 460 : CLOC : 51: complexity: 11
F:FUN_80008d10: at 0x80008d10: refcount: 2: lib : hal_cpu/hal_dma.c: size : 116 : CLOC : 17: complexity: 3
F:FUN_80008e4c: at 0x80008e4c: refcount: 2: lib : hal_cpu/hal_dma.c: size : 284 : CLOC : 51: complexity: 6
F:FUN_80008f68: at 0x80008f68: refcount: 2: lib : hal_cpu/hal_dma.c: size : 324 : CLOC : 32: complexity: 8
F:FUN_800090ac: at 0x800090ac: refcount: 1: lib : hal_cpu/hal_dma.c: size : 208 : CLOC : 19: complexity: 7
F:sigDmaRdy: at 0x8000917c: refcount: 1: lib : hal_cpu/hal_dma.c: size : 232 : CLOC : 27: complexity: 6
F:FUN_800092e4: at 0x800092e4: refcount: 4: lib : hal_cpu/hal_dma.c: size : 32 : CLOC : 13: complexity: 1
F:MULTILOAD: at 0x80009304: refcount: 1: lib : hal_cpu/hal_dma.c: size : 908 : CLOC : 115: complexity: 13
F:FUN_80009690: at 0x80009690: refcount: 2: lib : hal_cpu/hal_dma.c: size : 104 : CLOC : 15: complexity: 2
F:FUN_800096f8: at 0x800096f8: refcount: 1: lib : multiboot/multiboot_api.c: size : 168 : CLOC : 18: complexity: 6
F:multirun: at 0x800097a0: refcount: 21: lib : multiboot/multiboot_api.c: size : 312 : CLOC : 46: complexity: 10
F:FUN_800098d8: at 0x800098d8: refcount: 26: lib : multiboot/multiboot_api.c: size : 32 : CLOC : 11: complexity: 3
F:multibootCustomCb: at 0x800098f8: refcount: 18: lib : multiboot/multiboot_api.c: size : 372 : CLOC : 41: complexity: 6
F:FUN_80009938: at 0x80009938: refcount: 1: lib : multiboot/multiboot_api.c: size : 48 : CLOC : 13: complexity: 2
F:FUN_80009968: at 0x80009968: refcount: 0: lib : multiboot/multiboot_api.c: size : 36 : CLOC : 10: complexity: 1
F:FUN_800099a4: at 0x800099a4: refcount: 1: lib : multiboot/multiboot_api.c: size : 56 : CLOC : 9: complexity: 1
F:FUN_800099dc: at 0x800099dc: refcount: 1: lib : multiboot/multiboot_api.c: size : 220 : CLOC : 23: complexity: 1
F:FUN_80009ab8: at 0x80009ab8: refcount: 3: lib : multiboot/multiboot_api.c: size : 24 : CLOC : 14: complexity: 1
F:appInitWait: at 0x80009ad0: refcount: 2: lib : multiboot/multiboot_api.c: size : 284 : CLOC : 29: complexity: 6
F:FUN_80009bec: at 0x80009bec: refcount: 2: lib : multiboot/multiboot_api.c: size : 80 : CLOC : 18: complexity: 2
F:debug_print_string: at 0x80009c3c: refcount: 206: lib : multiboot/multiboot_api.c: size : 56 : CLOC : 11: complexity: 1
F:FUN_80009c74: at 0x80009c74: refcount: 2: lib : multiboot/multiboot_api.c: size : 40 : CLOC : 11: complexity: 1
F:init_function_no_args_0: at 0x80009cd4: refcount: 1: lib : multiboot/multiboot_api.c: size : 60 : CLOC : 9: complexity: 1
F:Init0xb000xxxx_Function_by_index: at 0x80009d10: refcount: 79: lib : multiboot/multiboot_api.c: size : 120 : CLOC : 11: complexity: 2
F:FUN_80009db4: at 0x80009db4: refcount: 0: lib : multiboot/multiboot_api.c: size : 64 : CLOC : 10: complexity: 2
F:init_function_one_arg_by_index: at 0x80009e20: refcount: 7: lib : multiboot/multiboot_api.c: size : 64 : CLOC : 10: complexity: 2
F:hal_bit_function_at_index: at 0x80009e60: refcount: 21: lib : multiboot/multiboot_api.c: size : 84 : CLOC : 16: complexity: 2
F:low_level_init_indirect_function_call: at 0x80009eb4: refcount: 83: lib : multiboot/multiboot_api.c: size : 64 : CLOC : 11: complexity: 2
F:FUN_80009ef4: at 0x80009ef4: refcount: 18: lib : multiboot/multiboot_api.c: size : 64 : CLOC : 10: complexity: 2
F:FUN_80009f60: at 0x80009f60: refcount: 0: lib : multiboot/multiboot_api.c: size : 76 : CLOC : 10: complexity: 2
F:FUN_80009fac: at 0x80009fac: refcount: 0: lib : multiboot/multiboot_api.c: size : 76 : CLOC : 10: complexity: 2
F:FUN_80009ff8: at 0x80009ff8: refcount: 1: lib : multiboot/multiboot_api.c: size : 104 : CLOC : 16: complexity: 1
F:FUN_8000a060: at 0x8000a060: refcount: 8: lib : multiboot/multiboot_api.c: size : 336 : CLOC : 65: complexity: 11
F:compare_nbytes_buffer: at 0x8000a1b0: refcount: 134: lib : multiboot/multiboot_api.c: size : 8 : CLOC : 16: complexity: 0
F:compare_nbytes_buffer: at 0x8000a1dc: refcount: 2: lib : multiboot/multiboot_api.c: size : 52 : CLOC : 19: complexity: 4
F:FUN_8000a1ec: at 0x8000a1ec: refcount: 3: lib : multiboot/multiboot_api.c: size : 428 : CLOC : 58: complexity: 9
F:FUN_8000a398: at 0x8000a398: refcount: 2: lib : multiboot/multiboot_api.c: size : 80 : CLOC : 16: complexity: 1
F:FUN_8000a3e8: at 0x8000a3e8: refcount: 3: lib : multiboot/multiboot_api.c: size : 56 : CLOC : 12: complexity: 2
F:memcpy: at 0x8000a420: refcount: 1272: lib : multiboot/multiboot_api.c: size : 328 : CLOC : 110: complexity: 16
F:loadDRAMPar??: at 0x8000a568: refcount: 1: lib : multiboot/multiboot_api.c: size : 280 : CLOC : 38: complexity: 4
F:FUN_8000a680: at 0x8000a680: refcount: 2: lib : multiboot/multiboot_api.c: size : 124 : CLOC : 38: complexity: 6
F:FUN_8000a6fc: at 0x8000a6fc: refcount: 4: lib : multiboot/multiboot_api.c: size : 1908 : CLOC : 301: complexity: 43
F:FUN_8000ae70: at 0x8000ae70: refcount: 2: lib : multiboot/multiboot_api.c: size : 116 : CLOC : 15: complexity: 1
F:FUN_8000aee4: at 0x8000aee4: refcount: 1: lib : multiboot/multiboot_api.c: size : 48 : CLOC : 10: complexity: 1
F:FUN_8000af1c: at 0x8000af1c: refcount: 24: lib : multiboot/multiboot_api.c: size : 300 : CLOC : 127: complexity: 32
F:FUN_8000c000: at 0x8000c000: refcount: 4: lib : multiboot/multiboot_api.c: size : 908 : CLOC : 120: complexity: 18
F:FUN_8000e000: at 0x8000e000: refcount: 1: lib : multiboot/multiboot_api.c: size : 168 : CLOC : 35: complexity: 3
F:FUN_8000e0a8: at 0x8000e0a8: refcount: 2: lib : multiboot/multiboot_api.c: size : 8 : CLOC : 7: complexity: 1
F:FUN_8000e0b0: at 0x8000e0b0: refcount: 4: lib : multiboot/multiboot_api.c: size : 128 : CLOC : 21: complexity: 6
F:FUN_8000e130: at 0x8000e130: refcount: 1: lib : multiboot/multiboot_api.c: size : 8 : CLOC : 7: complexity: 1
F:FUN_8000e138: at 0x8000e138: refcount: 4: lib : multiboot/multiboot_api.c: size : 284 : CLOC : 34: complexity: 5
F:sd_dev1_WritePrePost: at 0x8000e254: refcount: 39: lib : multiboot/multiboot_api.c: size : 480 : CLOC : 67: complexity: 16
F:FUN_8000e434: at 0x8000e434: refcount: 2: lib : multiboot/multiboot_api.c: size : 24 : CLOC : 13: complexity: 1
F:set_sd_iface_clock: at 0x8000e44c: refcount: 2: lib : multiboot/multiboot_api.c: size : 224 : CLOC : 33: complexity: 4
F:raw_switch_sd_clock: at 0x8000e52c: refcount: 4: lib : multiboot/multiboot_api.c: size : 424 : CLOC : 77: complexity: 7
F:FUN_8000e6d4: at 0x8000e6d4: refcount: 1: lib : multiboot/multiboot_api.c: size : 20 : CLOC : 11: complexity: 1
F:FUN_8000e6e8: at 0x8000e6e8: refcount: 1: lib : multiboot/multiboot_api.c: size : 8 : CLOC : 7: complexity: 1
F:FUN_8000e6f0: at 0x8000e6f0: refcount: 1: lib : multiboot/multiboot_api.c: size : 24 : CLOC : 8: complexity: 1
F:FUN_8000e708: at 0x8000e708: refcount: 1: lib : multiboot/multiboot_api.c: size : 124 : CLOC : 24: complexity: 2
